Network Name,IP Address,u_marsha,u_lsp,LSP,Contact
WASGO,216.36.22.93,WASGO,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YGKRI,71.7.183.245,YGKRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YHZCY,76.11.6.186,YHZCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YHZRI,64.141.77.34,YHZRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YQLFI,207.179.142.4,YQLFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YULHY,64.251.70.126,YULHY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YYTCY,69.17.174.105,YYTCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BNAAL,12.34.111.147,BNAAL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
IADWF,208.250.66.8,IADWF,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PSPSR,209.118.130.10,PSPSR,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DALFM,131.150.68.154,DALFM,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ANCRI,209.112.153.2,ANCRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
EVVCY,131.106.198.115,EVVCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
HOUFW,12.200.153.162,HOUFW,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
AUSAL,134.6.226.3,AUSAL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BISFI,63.158.236.2,BISFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BISRI,63.232.94.130,BISRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BOSYW,67.132.13.2,BOSYW,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BWISL,50.204.232.194,BWISL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CHICC,12.105.31.198,CHICC,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CHIIL,12.1.222.66,CHIIL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CHSCN,12.36.226.66,CHSCN,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CMHTH,98.100.91.162,CMHTH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CMPDV,50.228.126.2,CMPDV,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CSGAB,162.218.252.219,CSGAB,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CVGBC,216.196.183.2,CVGBC,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DALFP,172.108.152.242,DALFP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DALMQ,12.5.168.226,DALMQ,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DENCH,50.204.17.70,DENCH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DMOFI,65.127.255.194,DMOFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DTTRH,12.33.55.10,DTTRH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DTWYC,12.168.29.2,DTWYC,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
FSDRI,207.108.30.66,FSDRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
FSDSF,207.108.30.130,FSDSF,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
GRRRI,12.2.86.66,GRRRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
GRRSL,12.34.33.226,GRRSL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
GSOGW,70.60.224.120,GSOGW,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
HSVAL,143.59.206.84,HSVAL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
HZLFI,24.229.88.141,HZLFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ICTTE,12.199.11.98,ICTTE,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DXBGC,5.195.11.0,DXBGC,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DOHXR,78.100.140.120,DOHXR,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PFO40,213.7.210.56,PFO40,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
FJRMD,83.111.150.40,FJRMD,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ANCCY,216.67.99.37,ANCCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ANCSH,216.67.99.19,ANCSH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CYMFP,50.237.141.20,CYMFP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DFWCA,65.117.148.58,DFWCA,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ERISH,98.100.28.226,ERISH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
EWRSE,65.216.222.132,EWRSE,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
FLLFD,12.38.104.51,FLLFD,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
FYVFA,99.11.64.225,FYVFA,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CAISI,41.33.48.186,CAISI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BAHER,87.252.101.132,BAHER,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BAHRI,87.252.101.147,BAHRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CAIWI,82.129.137.212,CAIWI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YYCWA,74.3.191.100,YYCWA,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ROCFG,69.193.93.100,ROCFG,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
ROCFI,69.193.93.170,ROCFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SANCB,12.36.36.155,SANCB,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TULTD,98.164.35.108,TULTD,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SATAP,65.59.243.15,SATAP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TPLFI,12.5.150.35,TPLFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
BWISU,50.169.40.50,BWISU,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
CHIKK,12.33.175.163,CHIKK,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
LEXKE,64.190.242.50,LEXKE,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DTWFY,12.14.37.34,DTWFY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YYZRU,69.17.174.67,YYZRU,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
YGKFI,50.115.181.51,YGKFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MKEFW,12.149.165.130,MKEFW,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TPASH,209.155.221.195,TPASH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MWDFI,12.110.242.194,MWDFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SATCD,65.59.243.2,SATCD,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
JEDFP,5.42.246.226,JEDFP,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
CPTNW,105.28.113.221,CPTNW,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
VLCAK,195.235.104.212,VLCAK,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
AMSCA,85.146.217.174,AMSCA,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
LGWCY,193.115.219.44,LGWCY,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
LONBD,167.98.43.54,LONBD,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
KUNOX,88.216.176.103,KUNOX,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
CPTAR,105.28.119.208,CPTAR,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
JNBOR,105.28.103.162,JNBOR,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
LHRHR,167.98.10.27,LHRHR,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
MRSAR,37.71.255.132,MRSAR,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
PARTX,109.7.64.19,PARTX,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
MANAQ,213.106.181.179,MANAQ,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
JEDSI,77.221.113.198,JEDSI,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
PARCC,46.193.104.230,PARCC,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
AUHMD,83.111.62.18,AUHMD,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
DXBLV,151.253.54.61,DXBLV,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
LONRI,167.98.39.149,LONRI,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
GLAOS,167.98.112.2,GLAOS,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
DXBAS,151.253.162.219,DXBAS,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
LONWH,167.98.244.83,LONWH,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
ISTGS,176.88.174.66,ISTGS,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
ALCMM,195.55.206.131,ALCMM,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
QQYOX,167.98.167.116,QQYOX,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
MBDPR,165.165.144.252,MBDPR,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
DXBTP,151.253.0.171,DXBTP,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
JNBER,41.170.79.7,JNBER,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
PARBE,37.71.143.170,PARBE,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
PARST,46.218.58.222,PARST,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
ATHOX,31.16.114.70,ATHOX,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
TUNMC,213.150.188.194,TUNMC,Hoist Group,Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
MIAMS,134.204.37.117,MIAMS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
LAXCV,12.172.110.85,LAXCV,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
LAXFR,66.214.145.126,LAXFR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
NYCQL,40.129.123.99,NYCQL,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SANSD,70.168.58.170,SANSD,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ALBFW,184.74.85.150,ALBFW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ALBTX,24.105.198.213,ALBTX,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ATLCR,24.49.145.67,ATLCR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ATLMD,12.138.118.254,ATLMD,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BDLDT,104.226.20.123,BDLDT,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BDLCW,50.200.238.110,BDLCW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BDLHO,50.226.130.190,BDLHO,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BDLSI,174.77.115.233,BDLSI,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BMGCF,50.236.89.158,BMGCF,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BWIDI,192.210.28.133,BWIDI,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
BWILS,206.136.105.30,BWILS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
CAEAL,98.101.184.158,CAEAL,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
CDWTS,50.239.227.190,CDWTS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
CIDCR,74.84.124.231,CIDCR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
CMHCG,216.70.44.84,CMHCG,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
CMHFG,12.132.134.236,CMHFG,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DALGV,97.77.89.158,DALGV,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DALSW,71.15.116.126,DALSW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DFWDE,131.150.74.126,DFWDE,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DFWDN,75.140.228.78,DFWDN,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DFWFI,128.92.217.78,DFWFI,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
DTWMB,50.201.51.212,DTWMB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
FNTFG,50.227.60.70,FNTFG,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
FLLFP,24.145.78.244,FLLFP,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
FWASW,184.17.61.58,FWASW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
GSONC,12.53.251.10,GSONC,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
HGRMB,50.239.20.4,HGRMB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
HGRSC,63.145.207.30,HGRSC,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
HOUTB,50.227.246.142,HOUTB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ILGWD,151.181.230.30,ILGWD,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ILGTS,50.77.81.125,ILGTS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
INDDE,50.239.108.30,INDDE,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
LBESS,50.237.25.222,LBESS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
MCIKS,40.141.128.254,MCIKS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
MCISR,40.141.128.246,MCISR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
MEITX,142.190.4.94,MEITX,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
MRYSH,50.225.143.226,MRYSH,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
NYCFT,68.233.183.94,NYCFT,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
NYCLR,172.254.56.190,NYCLR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
NYCSK,198.179.70.110,NYCSK,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
OAKFI,50.239.62.154,OAKFI,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ONTTC,69.75.186.254,ONTTC,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
PBGFI,72.22.6.126,PBGFI,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
PHLCN,50.228.127.131,PHLCN,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
PHLCV,206.136.82.238,PHLCV,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
PNSOR,69.85.218.158,PNSOR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
ROCFB,24.213.244.62,ROCFB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SAFCY,50.238.160.222,SAFCY,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SANCD,12.0.118.110,SANCD,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SBNCB,50.237.8.30,SBNCB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SBNSD,50.225.245.200,SBNSD,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SFOAK,12.51.135.28,SFOAK,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SLCFM,63.78.215.21,SLCFM,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
SLCSW,104.244.87.226,SLCSW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
TOLBG,147.0.240.190,TOLBG,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
WASPS,50.228.127.229,WASPS,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
WCTNW,98.6.81.94,WCTNW,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
YULAL,207.35.220.221,YULAL,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
YQRDR,207.195.91.94,YQRDR,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
LAXDB,192.210.29.180,LAXDB,HotSpot International,HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
,,,,LinkBroad,stephen.shi <stephen.shi@linkbroad.com>; digger.wu@linkbroad.com
DPSSK,114.129.18.5,DPSSK,Microsense,Microsense,Balbeer Singh <bsingh@microsensenetworks.com> ; mailto:imran@microsensenetworks.com; mailto:sanjoy.d@microsensenetworks.com
GOIVM,103.97.92.245,GOIVM,Microsense,Microsense,Balbeer Singh <bsingh@microsensenetworks.com> ; mailto:imran@microsensenetworks.com; mailto:sanjoy.d@microsensenetworks.com
BUDER,86.101.159.1,BUDER,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
DUBAL,81.173.12.252,DUBAL,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
BERAC,217.27.204.174,BERAC,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
ALARZ,188.0.136.163,ALARZ,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
ADBBR,176.235.244.157,ADBBR,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
LYSOX,85.184.70.172,LYSOX,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
RTMTX,85.146.236.144,RTMTX,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
LONHW,167.98.166.82,LONHW,Mikenopa,Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
